,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21
局數,球序,發球者姓名,比分,勝負,板數,發球者代碼,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短
1,1,Sofia POLCANOVA(LSH),00:01,0,3,X,F,1,2,1,1,2,4,F,2,1,1,2,1,A,B,1,0,6,1,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Sofia POLCANOVA(LSH),00:02,0,3,X,F,1,5,1,1,2,2,F,5,2,8,1,2,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,孫穎莎(RSH),01:02,0,5,Y,F,3,5,1,2,2,2,F,5,2,8,1,2,8,B,2,2,1,2,1,8,B,2,2,5,2,1,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,孫穎莎(RSH),02:02,0,5,Y,F,3,5,1,2,2,2,F,5,2,6,1,1,8,B,2,1,6,2,1,A,B,1,2,5,2,1,8,B,2,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Sofia POLCANOVA(LSH),03:02,1,4,X,F,1,5,1,1,2,2,F,5,2,8,1,2,8,F,2,2,1,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,Sofia POLCANOVA(LSH),03:03,0,5,X,F,1,2,1,1,2,5,F,2,1,1,2,1,A,B,1,1,6,2,1,7,F,1,2,1,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,孫穎莎(RSH),03:04,1,8,Y,F,3,2,1,2,2,5,F,2,3,1,2,1,A,B,3,2,6,2,1,8,F,2,2,1,2,1,8,B,2,2,6,2,1,8,F,2,5,1,3,1,8,B,5,2,6,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,孫穎莎(RSH),03:05,1,2,Y,F,3,5,1,1,2,2,F,5,0,8,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Sofia POLCANOVA(LSH),04:05,1,2,X,F,1,2,1,2,2,5,F,2,0,8,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Sofia POLCANOVA(LSH),05:05,1,6,X,F,1,2,1,2,2,8,F,2,1,1,2,1,A,B,1,2,5,2,1,8,B,2,2,1,2,1,8,B,2,2,5,2,1,8,F,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,孫穎莎(RSH),05:06,1,6,Y,F,3,5,1,1,2,2,F,5,3,8,1,2,3,B,3,2,8,1,2,5,F,2,3,1,3,1,A,B,3,2,6,2,1,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,孫穎莎(RSH),05:07,1,4,Y,F,3,5,1,1,2,2,F,5,5,A,1,2,2,F,5,1,3,3,1,A,B,1,0,9,9,9,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,Sofia POLCANOVA(LSH),06:07,1,2,X,F,1,2,1,2,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,Sofia POLCANOVA(LSH),07:07,1,6,X,F,1,5,1,1,2,2,B,5,6,8,1,2,1,F,6,2,3,3,1,8,B,2,2,B,2,1,8,B,2,2,1,2,1,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,孫穎莎(RSH),07:08,1,6,Y,F,3,2,1,1,2,5,F,2,3,8,1,2,A,B,3,3,1,3,1,7,F,3,2,2,2,1,8,F,2,1,2,2,1,A,B,1,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,孫穎莎(RSH),07:09,1,4,Y,F,3,6,1,2,2,1,F,6,2,6,2,1,A,B,2,1,5,2,1,A,B,1,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,Sofia POLCANOVA(LSH),08:09,1,4,X,F,1,5,1,1,2,2,F,5,1,8,1,2,A,B,1,2,1,2,1,8,F,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,Sofia POLCANOVA(LSH),08:10,0,3,X,F,1,2,1,1,2,5,B,2,2,1,2,1,8,F,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,孫穎莎(RSH),08:11,1,6,Y,F,3,5,1,1,2,2,B,5,2,4,2,1,8,B,2,2,5,2,1,8,B,2,2,6,2,1,8,B,2,2,6,2,1,8,B,2,0,1,2,1,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,孫穎莎(RSH),01:00,0,3,Y,F,3,2,1,2,2,8,F,2,1,1,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,孫穎莎(RSH),01:01,1,2,Y,F,3,5,1,1,2,5,F,5,0,3,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Sofia POLCANOVA(LSH),01:02,0,3,X,F,1,5,1,1,2,2,F,5,5,8,1,2,2,B,5,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,Sofia POLCANOVA(LSH),01:03,0,5,X,9,9,9,9,9,9,9,B,5,3,8,1,2,1,F,3,5,A,1,2,2,F,5,1,3,2,1,A,B,1,0,B,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,孫穎莎(RSH),01:04,1,1,Y,F,3,5,1,1,2,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,孫穎莎(RSH),01:05,1,3,Y,F,3,4,1,1,2,3,B,4,2,4,2,1,8,B,2,3,1,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Sofia POLCANOVA(LSH),02:05,1,4,X,F,2,5,1,2,2,2,B,5,3,8,2,2,7,F,3,2,1,2,1,8,F,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,Sofia POLCANOVA(LSH),02:06,0,5,X,F,1,6,1,1,2,3,B,6,5,8,1,2,2,F,5,5,A,1,2,2,B,5,2,8,1,2,8,B,2,0,8,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,孫穎莎(RSH),02:07,1,4,Y,F,3,2,1,2,2,8,B,2,2,5,2,1,8,B,2,2,1,2,1,8,F,2,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,孫穎莎(RSH),02:08,1,2,Y,F,3,5,1,1,2,2,F,5,0,A,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,Sofia POLCANOVA(LSH),03:08,1,2,X,F,1,2,1,2,2,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,Sofia POLCANOVA(LSH),04:08,1,14,X,F,1,2,1,2,2,8,F,2,3,1,3,1,7,F,3,2,B,2,1,8,F,2,6,5,2,1,7,F,6,3,1,3,1,A,B,3,2,B,2,1,8,F,2,2,1,2,1,8,F,2,3,1,2,1,7,F,3,3,1,2,1,A,B,3,2,6,2,1,8,F,2,2,1,2,1,8,B,2,2,2,2,1,8,B,2,2,2,2,1,8,F,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,孫穎莎(RSH),05:08,0,18,Y,F,3,5,1,1,2,2,B,5,2,A,1,2,5,F,2,2,5,2,1,8,B,2,2,1,2,1,8,F,2,2,2,2,1,8,F,2,2,2,2,1,8,B,2,2,B,2,1,8,F,2,6,1,2,1,A,B,6,2,B,2,1,8,B,2,2,1,2,1,8,B,2,2,6,2,1,8,B,2,5,2,2,1,8,F,5,3,2,2,1,7,F,3,3,2,2,1,A,B,3,2,6,2,1,8,B,2,1,1,2,1,7,F,1,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,孫穎莎(RSH),05:09,1,4,Y,F,3,5,1,1,2,2,F,5,1,8,2,2,7,F,1,1,1,2,1,A,B,1,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,Sofia POLCANOVA(LSH),05:10,0,7,X,F,1,3,1,2,2,A,B,3,3,1,2,1,7,F,3,3,2,2,1,A,B,3,2,6,2,1,7,F,2,2,1,2,1,8,B,2,2,6,2,1,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,Sofia POLCANOVA(LSH),06:10,1,4,X,F,2,4,1,2,2,1,F,4,2,1,2,1,8,F,2,2,6,2,1,8,F,2,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,孫穎莎(RSH),06:11,1,4,Y,F,3,2,1,2,2,5,F,2,2,8,1,2,8,F,2,1,1,2,1,A,B,1,0,B,2,1,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Sofia POLCANOVA(LSH),01:00,1,4,X,F,1,5,1,1,2,2,F,5,2,8,2,2,8,F,2,2,1,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,Sofia POLCANOVA(LSH),01:01,0,7,X,F,1,2,1,1,2,2,F,2,2,8,2,2,8,B,2,2,1,2,1,8,B,2,3,6,2,1,7,F,3,2,5,2,1,8,F,2,2,1,2,1,8,B,2,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,孫穎莎(RSH),01:02,1,2,Y,F,3,2,1,2,2,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,孫穎莎(RSH),01:03,1,4,Y,F,3,5,1,1,2,2,F,5,2,1,2,1,8,B,2,2,6,2,1,8,F,2,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,Sofia POLCANOVA(LSH),02:03,1,2,X,F,1,5,1,1,2,2,B,5,0,8,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Sofia POLCANOVA(LSH),02:04,0,5,X,F,1,5,1,1,2,2,B,5,3,4,2,1,7,F,3,2,1,2,1,8,B,2,2,6,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,孫穎莎(RSH),02:05,1,2,Y,F,3,2,1,2,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,孫穎莎(RSH),03:05,0,5,Y,F,3,2,1,2,2,5,F,2,2,8,1,2,8,F,2,1,1,2,1,A,B,1,3,6,2,1,A,B,3,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,Sofia POLCANOVA(LSH),03:06,0,1,X,F,1,0,1,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,Sofia POLCANOVA(LSH),04:06,1,2,X,F,1,5,1,1,2,2,B,5,0,4,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,孫穎莎(RSH),04:07,1,3,Y,F,3,1,1,2,2,A,B,1,2,8,1,2,8,F,2,3,1,3,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,孫穎莎(RSH),04:08,1,3,Y,F,3,5,1,1,2,4,F,5,5,1,2,1,A,F,5,3,2,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,Sofia POLCANOVA(LSH),05:08,1,13,X,F,1,3,1,2,2,A,B,3,6,1,2,1,7,F,6,5,2,2,1,8,F,5,3,2,2,1,7,F,3,2,2,2,1,8,F,2,2,2,3,1,8,B,2,2,6,2,1,8,F,2,3,1,2,1,7,F,3,2,2,3,1,8,B,2,1,6,2,1,A,B,1,1,1,2,1,7,F,1,2,5,2,1,8,F,2,3,1,2,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,Sofia POLCANOVA(LSH),05:09,0,3,X,F,1,2,1,2,2,2,F,2,1,8,2,2,A,B,1,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,孫穎莎(RSH),06:09,0,7,Y,F,2,5,1,1,2,2,F,5,3,8,2,1,A,B,3,2,1,2,1,8,F,2,3,5,2,1,A,B,3,2,B,2,1,8,F,2,2,1,2,1,8,B,2,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,孫穎莎(RSH),06:10,1,4,Y,F,3,5,1,1,2,2,F,5,2,8,2,2,8,F,2,3,1,2,1,7,F,3,0,B,9,9,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,Sofia POLCANOVA(LSH),06:11,0,3,X,F,1,1,1,2,2,7,F,1,2,1,2,1,8,F,2,0,2,2,1,O,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
