,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20
局數,球序,發球者姓名,比分,勝負,板數,發球者代碼,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短,正反手,己方落點,對方落點,技術,速度,旋轉,長短
1,1,Miyuu KIHARA(RSH),01:00,1,4,X,F,2,5,1,1,2,2,F,5,3,8,1,2,A,B,3,3,1,2,1,A,B,3,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Miyuu KIHARA(RSH),02:00,1,4,X,F,3,2,1,1,2,5,F,2,1,1,2,1,7,F,1,2,5,2,1,8,F,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,孫穎莎(RSH),03:00,0,5,Y,F,3,3,1,2,2,A,B,3,3,5,2,1,A,B,3,3,1,3,1,A,B,3,2,6,2,1,8,F,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,孫穎莎(RSH),03:01,1,4,Y,F,3,1,1,1,2,1,B,1,2,8,1,2,8,F,2,3,1,3,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Miyuu KIHARA(RSH),04:01,1,8,X,F,2,5,1,1,2,2,F,5,2,8,1,2,5,B,2,2,1,2,1,8,B,2,3,6,2,1,A,B,3,2,5,2,1,8,F,2,2,1,2,1,8,B,2,3,5,2,1,A,B,3,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,Miyuu KIHARA(RSH),04:02,0,3,X,F,3,5,1,1,2,2,B,5,2,4,2,1,8,B,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,孫穎莎(RSH),04:03,1,2,Y,F,3,3,1,2,2,A,B,3,0,D,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,孫穎莎(RSH),05:03,0,5,Y,F,3,3,1,2,2,A,B,3,2,D,1,2,8,B,2,3,1,2,1,A,B,3,2,6,2,1,8,F,2,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Miyuu KIHARA(RSH),05:04,0,5,X,F,2,2,1,2,2,8,F,2,3,1,2,1,A,B,3,3,5,2,1,A,B,3,1,1,2,1,7,F,1,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Miyuu KIHARA(RSH),06:04,1,2,X,F,2,3,1,2,2,A,F,3,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,孫穎莎(RSH),06:05,1,2,Y,F,3,4,1,1,2,1,F,4,0,8,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,孫穎莎(RSH),06:06,1,10,Y,F,3,4,1,1,2,1,F,4,3,8,1,2,A,B,3,3,1,2,1,A,B,3,2,5,2,1,8,B,2,2,1,2,1,8,B,2,2,6,2,1,8,B,2,2,1,2,1,8,B,2,2,2,2,1,8,B,2,2,6,2,1,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,Miyuu KIHARA(RSH),06:07,0,5,X,F,2,5,1,1,2,2,B,5,3,8,1,2,A,B,3,3,1,2,1,A,B,3,2,2,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,Miyuu KIHARA(RSH),06:08,0,3,X,F,2,1,1,1,2,4,F,1,2,1,2,1,8,B,2,0,5,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,孫穎莎(RSH),06:09,1,6,Y,F,3,4,1,1,2,1,F,4,6,A,1,2,3,B,6,3,8,1,2,A,B,3,3,1,2,1,A,B,3,3,3,2,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,孫穎莎(RSH),06:10,1,6,Y,F,3,4,1,1,2,1,F,4,1,A,1,2,7,F,1,3,1,3,1,A,B,3,2,B,2,1,8,F,2,1,3,3,1,7,F,1,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,Miyuu KIHARA(RSH),07:10,1,4,X,9,9,9,9,9,9,9,9,9,9,9,9,9,9,B,6,2,5,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,Miyuu KIHARA(RSH),08:10,1,10,X,F,2,5,1,1,2,8,F,5,3,1,2,1,A,B,3,3,5,2,1,A,B,3,5,6,2,1,8,B,5,3,6,2,1,A,B,3,3,6,2,1,A,B,3,2,6,2,1,8,B,2,6,B,2,1,A,B,6,3,1,2,1,A,B,3,0,B,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,孫穎莎(RSH),08:11,1,6,Y,F,3,1,1,2,2,4,F,1,3,8,2,2,A,B,3,3,1,2,1,A,B,3,3,5,2,1,A,B,3,5,1,2,1,8,B,5,0,B,2,1,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,孫穎莎(RSH),01:00,0,3,Y,F,3,2,1,2,2,8,B,2,2,8,2,2,8,F,2,0,3,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,孫穎莎(RSH),02:00,0,6,Y,F,3,1,1,2,2,7,F,1,1,8,2,2,7,F,1,3,1,2,1,A,B,3,2,6,2,1,8,B,2,1,1,2,1,7,F,1,1,2,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Miyuu KIHARA(RSH),02:01,0,7,X,F,2,3,1,1,2,A,B,3,2,1,2,1,8,B,2,2,6,2,1,8,B,2,3,1,2,1,A,B,3,2,6,2,1,8,B,2,5,5,2,1,8,B,5,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,Miyuu KIHARA(RSH),02:02,0,11,X,F,2,5,1,1,2,2,F,5,2,8,1,2,8,B,2,1,1,3,1,7,F,1,2,5,2,1,8,F,2,1,1,2,1,7,F,1,2,2,2,1,8,F,2,5,2,2,1,8,F,5,1,5,2,1,7,F,1,1,1,2,1,7,F,1,2,2,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,孫穎莎(RSH),03:02,0,5,Y,F,3,3,1,2,2,A,B,3,1,1,2,1,7,F,1,3,1,2,1,A,B,3,5,B,2,1,5,B,5,0,D,2,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,孫穎莎(RSH),04:02,0,3,Y,F,3,3,1,1,2,A,B,3,2,B,2,1,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Miyuu KIHARA(RSH),04:03,0,5,X,F,2,6,1,1,2,3,B,6,2,8,1,2,8,B,2,1,1,2,1,7,F,1,1,5,2,1,7,F,1,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,Miyuu KIHARA(RSH),04:04,0,6,X,F,2,5,1,1,2,2,F,5,5,A,1,2,2,F,5,3,8,2,1,A,B,3,1,1,2,1,7,F,1,5,B,2,1,8,F,5,2,1,2,1,8,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,孫穎莎(RSH),04:05,1,6,Y,F,3,4,1,1,2,1,B,4,5,8,1,2,2,B,5,3,8,2,1,A,B,3,2,1,2,1,8,B,2,3,6,2,1,A,B,3,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,孫穎莎(RSH),04:06,1,6,Y,F,3,1,1,1,2,4,B,1,2,8,2,1,8,F,2,3,1,2,1,A,B,3,3,6,2,1,A,B,3,1,1,2,1,7,F,1,0,B,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,Miyuu KIHARA(RSH),05:06,1,4,X,F,2,5,1,1,2,2,B,5,3,8,1,2,A,B,3,2,1,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,Miyuu KIHARA(RSH),05:07,0,3,X,F,2,6,1,1,2,3,B,6,2,8,1,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,孫穎莎(RSH),06:07,0,7,Y,F,3,5,1,1,2,5,F,5,3,8,1,2,A,B,3,2,1,2,1,8,F,2,2,B,2,1,8,B,2,2,6,2,1,8,B,2,2,6,2,1,8,B,2,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,孫穎莎(RSH),07:07,0,3,Y,F,3,1,1,2,2,4,F,1,1,8,1,2,7,F,1,0,1,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,Miyuu KIHARA(RSH),07:08,0,3,X,F,2,3,1,2,2,A,B,3,2,1,2,1,8,B,2,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,Miyuu KIHARA(RSH),07:09,0,1,X,F,2,0,1,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,孫穎莎(RSH),07:10,1,7,Y,F,2,6,1,1,2,3,B,6,5,8,1,2,2,F,5,5,A,1,2,5,F,5,3,7,2,1,A,B,3,3,5,2,1,A,B,3,2,B,2,1,8,F,2,1,3,3,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,孫穎莎(RSH),07:11,1,2,Y,F,3,5,1,1,2,2,B,5,0,7,2,1,T,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Miyuu KIHARA(RSH),00:01,0,3,X,F,2,3,1,2,2,A,B,3,2,6,2,1,8,B,2,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,Miyuu KIHARA(RSH),01:01,1,2,X,F,3,5,1,1,2,5,F,5,0,1,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,孫穎莎(RSH),01:02,1,2,Y,F,3,3,1,2,2,A,B,3,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,孫穎莎(RSH),01:03,1,4,Y,F,3,4,1,1,2,1,F,4,3,8,1,2,A,B,3,2,1,2,1,8,B,2,0,6,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,Miyuu KIHARA(RSH),01:04,0,2,X,F,2,5,1,1,2,2,B,5,5,8,1,2,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Miyuu KIHARA(RSH),01:05,0,3,X,F,2,5,1,1,2,2,F,5,2,8,1,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,孫穎莎(RSH),01:06,1,10,Y,F,3,4,1,1,2,1,F,4,3,8,1,2,A,B,3,3,8,2,2,A,B,3,2,D,2,2,8,B,2,3,1,1,1,A,B,3,2,6,2,1,8,F,2,6,1,2,1,A,B,6,2,E,2,2,8,B,2,2,D,1,2,5,F,2,0,1,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,孫穎莎(RSH),02:06,0,11,Y,F,3,2,1,1,2,2,B,2,3,7,1,2,A,B,3,1,6,2,1,7,F,1,2,5,2,1,8,B,2,3,B,2,1,A,B,3,2,6,2,1,8,B,2,3,6,2,1,A,B,3,2,6,2,1,8,B,2,2,6,2,1,8,B,2,3,6,2,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,Miyuu KIHARA(RSH),02:07,0,5,X,F,3,3,1,2,2,A,B,3,2,5,2,1,8,B,2,3,6,2,1,A,B,3,2,5,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,Miyuu KIHARA(RSH),02:08,0,3,X,9,9,9,9,9,9,9,F,2,2,1,2,1,8,B,2,0,E,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,孫穎莎(RSH),03:08,0,2,Y,F,3,1,1,1,2,5,F,1,1,7,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,孫穎莎(RSH),03:09,1,4,Y,F,3,1,1,1,2,5,F,1,1,7,2,1,7,F,1,3,B,2,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,Miyuu KIHARA(RSH),03:10,0,3,X,F,3,2,1,2,2,8,F,2,3,1,2,1,A,B,3,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,Miyuu KIHARA(RSH),03:11,0,4,X,F,2,5,1,1,2,2,F,5,2,8,1,2,8,B,2,3,8,1,1,A,F,3,3,1,3,1,A,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
